ID,jobTitle,companyName,jobLocation,jobSummary
276,Data Scientist (Multiple levels),Oracle,"San Francisco, CA 94109 (Nob Hill area)","Experience in leading and mentoring other data scientists. An advanced degree in Computer Science, Physics, Engineering, Mathematics or similar, and..."
277,"Data Scientist, Lifecyle",Slack,"San Francisco, CA","Slack is hiring experienced data scientists to join our Lifecycle team. Deepen our understanding of our product, our users, and our business through data and..."
278,Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)","As a technical team member, you will work with data scientists, analysts, engineers, and product managers across multiple teams and orgs to improve overall..."
279,Data Scientist - Forecasting and Anomaly Detection Platform,Uber,"San Francisco, CA 94105 (Financial District area)",Deep knowledge of statistical principles and Machine Learning methods. Partner with experienced scientists and engineers in building first-class products....
280,Quantitative Analyst,Google,"San Francisco, CA 94105 (Financial District area)",Work with a team of analysts responsible for pioneering machine learning and advanced analytics to Finance....
281,"Data Scientist, Engineering",Google,"San Francisco, CA 94105 (Financial District area)","At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and..."
282,Data Scientist | Rider Experience,Uber,"San Francisco, CA 94103 (South Of Market area)","Build production grade models on large-scale datasets to enhance product experience by utilizing advanced statistical modeling, machine learning, or data mining..."
283,2019 University Graduate - Data Scientist I/II - Core Product,Uber,"San Francisco, CA 94103 (South Of Market area)","We are looking for data scientists with strong backgrounds in statistics, machine learning, computer science, etc to join the core product team at Uber...."
284,"Data Scientist, Product",Slack,"San Francisco, CA","Slack is looking for experienced data scientists to join our Product Analytics team and help drive the understanding, growth, and success of Slack...."
285,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
286,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
287,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
288,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
289,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
290,Scala and Big Data developer,Aricent-Altran Group,"San Francisco, CA",Craft data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader....
291,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
292,Data/DevOps Engineer,FlowCommand Inc,"San Francisco, CA 94103 (South Of Market area)",Backend / Data Engineering:. FlowCommand is looking for its first data / devops engineer to join our small software team (currently a software engineer and a...
293,Signal processing and data scientist,GraphWear Technologies Inc.,"San Francisco, CA 94107 (South Of Market area)","SIGNAL PROCESSING AND DATA SCIENTIST. In Engineering, Physics, Computational biology, Mathematics, Statistics, or related field required with 2+ years of direct..."
294,Data Scientist - Forecasting and Anomaly Detection Platform,Uber,"San Francisco, CA 94105 (Financial District area)",Deep knowledge of statistical principles and Machine Learning methods. Partner with experienced scientists and engineers in building first-class products....
295,"Data Scientist | E-Mobility, Optimization",Uber,"San Francisco, CA 94103 (South Of Market area)","Excellent SQL skills and the ability to use tools such as Python, R, or Excel to work efficiently at scale with large data sets...."
296,Data Scientist,Alt Shift USA,"San Francisco, CA",Substantial experience in creating optimization models. Support/develop models for GAP INC....
297,Data Scientist - Forecasting,Capital One,"San Francisco, CA","Data Scientist - Forecasting. To accomplish this goal, we use the latest techniques in machine learning - deep learning, reinforcement learning, genetic..."
298,Data Scientist,Ridecell,"San Francisco, CA 94103 (South Of Market area)",Recommendations on database infrastructure and data pipeline in order to ensure that necessary data is available for both analytic and machine learning...
299,Data Scientist,Honor,"San Francisco, CA 94110 (Mission area)","We're looking for a data scientist to join our team. This unique approach is powering our huge growth - we have cutting-edge machine learning, a beautiful, well..."
300,Data Scientist,Allianz Global Investors,"San Francisco, CA 94105 (Financial District area)","Produces complex analyses on multiple data sources using R, Python, SQL, NoSQL, etc. Identifies, analyzes, and interprets trends or patterns in complex data..."
301,"Intern, Data Scientist",Autodesk,"San Francisco, CA 94105 (Financial District area)","Utilize machine learning models to deliver meaningful business insights. You will work closely with the rest of the AI team, data scientists and the end users..."
302,Data Scientist,Esurance,"San Francisco, CA 94105 (Financial District area)",Extensive experience in data management and data scrubbing. 2+ years’ relevant quantitative and qualitative research and analytics experience....
303,Data Scientist,Mode,"San Francisco, CA","Mode is a company built for analysts and data scientists. In addition to building a product to help them be great at their jobs, Mode aims to be a source of..."
304,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
305,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
306,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
307,Signal processing and data scientist,GraphWear Technologies Inc.,"San Francisco, CA 94107 (South Of Market area)","SIGNAL PROCESSING AND DATA SCIENTIST. In Engineering, Physics, Computational biology, Mathematics, Statistics, or related field required with 2+ years of direct..."
308,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
309,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
310,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
311,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
312,Data Scientist | Rider Growth,Uber,"San Francisco, CA 94103 (South Of Market area)","Excellent SQL skills and the ability to use tools such as Python, R, or Excel to work efficiently at scale with large data sets...."
313,Data Scientist - Forecasting,Capital One,"San Francisco, CA","Data Scientist - Forecasting. To accomplish this goal, we use the latest techniques in machine learning - deep learning, reinforcement learning, genetic..."
314,"Intern, Data Analytics",Autodesk,"San Francisco, CA 94105 (Financial District area)","We need you to help us step up our game, and take a deep dive into the data to extract insights that will affect key decisions and shape our strategy in this..."
315,Senior Data Scientist,Instacart,"San Francisco, CA",Proactively conduct quantitative research and analysis of Instacart's data that results in actionable insights and recommendations....
316,"Sr Data Scientist, NLP - Customer Obsession",Uber,"San Francisco, CA 94105 (Financial District area)","To achieve these goals, our team is looking for data scientists with diverse experience in areas such as Natural Language Processing (NLP), Machine Learning,..."
317,"Data Scientist, Cash App",Square,"San Francisco, CA 94103 (South Of Market area)","A graduate degree in machine learning, computer science, artificial intelligence, applied mathematics, statistics, physics, or a related technical field...."
318,"Experimentation Lead, Data Science",Shipt,"San Francisco, CA","Coordinate experimentation setup and performance analysis for all tests running across the company by working with product stakeholders, data scientists and..."
319,Product Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)","You apply machine learning and data science techniques when applicable, but are just as happy to implement a simple heuristic when you find it’s as effective at..."
320,"Data Scientist | E-Mobility, Optimization",Uber,"San Francisco, CA 94103 (South Of Market area)","Excellent SQL skills and the ability to use tools such as Python, R, or Excel to work efficiently at scale with large data sets...."
321,"Senior Data Scientist, Experimentation Platform Team",Uber,"San Francisco, CA 94105 (Financial District area)","We're looking for experienced scientists and experimentalists who're comfortable working in cross-functional teams of engineers, scientists, and product..."
322,Scala and Big Data developer,Aricent-Altran Group,"San Francisco, CA",Craft data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader....
323,Data/DevOps Engineer,FlowCommand Inc,"San Francisco, CA 94103 (South Of Market area)",Backend / Data Engineering:. FlowCommand is looking for its first data / devops engineer to join our small software team (currently a software engineer and a...
324,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
325,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
326,Data/DevOps Engineer,FlowCommand Inc,"San Francisco, CA 94103 (South Of Market area)",Backend / Data Engineering:. FlowCommand is looking for its first data / devops engineer to join our small software team (currently a software engineer and a...
327,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
328,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
329,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
330,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
331,Data Scientist,Airbus UTM,"San Francisco, CA","Extensive experience working with various data sets, knowledge of state of the art in machine learning, and understanding of the power and shortcomings of data...."
332,Measurement Data Scientist,Pinterest,"San Francisco, CA 94103 (South Of Market area)",Has proven track record of applying scientific methods to solve real-world problems using big data. Use various statistical methods and/or machine learning...
333,Data Scientist,Bolt,"San Francisco, CA",Bolt is hiring our first Data Scientist to bring our data to life by uncovering insights and turning it into a tool through models and forecasts....
334,Data Scientist,States Title,"San Francisco, CA",You've served a catch-all analytics role doing everything from data cleaning to SQL joins to building predictive models....
335,Data Scientist - Styling Recommendations,Stitch Fix,"San Francisco, CA",You have 3+ years of experience in a data science/software engineering role developing production machine learning systems....
336,Data Scientist,Spin Electric Scooters,"San Francisco, CA","You will be responsible for developing analytical insights, machine learning models and actionable data-infoemd solutions...."
337,People Data Scientist,Paradigm,"San Francisco, CA","Using insights from your data collection and analysis, you will partner with the Strategy & Insights consultants and collaborate on written reports and final..."
338,Computer Vision - Data Scientist,Factspan Analytics,"San Francisco, CA",*Job Summary  Computer Vision * Recommendation Engine * NLP Job Type: Full-time Experience: * Data Science: 3 years (Preferred...
339,Data Scientist,Varo Money,"San Francisco, CA",Deep understanding of machine learning and statistical models. This is a tremendous opportunity to be an early member and shape the current and future data...
340,Data Scientist - Styling Algorithms,Stitch Fix,"San Francisco, CA",Communicate complicated concepts to the wider audience - both data scientists and broader business partners. You have 3+ years of experience in a data science...
341,Scala and Big Data developer,Aricent-Altran Group,"San Francisco, CA",Craft data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader....
342,Signal processing and data scientist,GraphWear Technologies Inc.,"San Francisco, CA 94107 (South Of Market area)","SIGNAL PROCESSING AND DATA SCIENTIST. In Engineering, Physics, Computational biology, Mathematics, Statistics, or related field required with 2+ years of direct..."
343,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
344,"Manager, Data & Analysis",Digitas,"San Francisco, CA 94104 (Financial District area)",The Data & Analysis team uses data-driven insights to fuel strategic growth for clients. Manager – Data & Analysis....
345,"Data Scientist, Operations",Square,"San Francisco, CA 94103 (South Of Market area)",Use your experience in analytics tools and scientific rigor to produce actionable insights. 2+ years industry experience in data science or analytics....
346,Data Scientist | Rider Experience,Uber,"San Francisco, CA 94103 (South Of Market area)","Build production grade models on large-scale datasets to enhance product experience by utilizing advanced statistical modeling, machine learning, or data mining..."
347,"Assoc Dir, Data and Analysis",Digitas,"San Francisco, CA","Knowledge of digital data technologies (DMPs, Google Analytics, digital pixel tracking, site tagging, etc.). The Data & Analysis team uses data-driven insights..."
348,Data Scientist,Zeus,"San Francisco, CA",3+ years of data science experience. Build data products for our website (e.g. Demonstrated ability to lead and complete data science projects....
349,Data Scientist,Stanza,"San Francisco, CA",To manipulate data and draw insights from large data sets. You are knowledge and experienced in statistical and data mining techniques....
350,Senior Data Scientist,Instacart,"San Francisco, CA",Proactively conduct quantitative research and analysis of Instacart's data that results in actionable insights and recommendations....
351,Data Scientist,TaskRabbit,"San Francisco, CA 94103 (South Of Market area)","Advanced degree in computer science/engineering/sciences, with a background in machine learning, predictive models, classification, data mining...."
352,Data Scientist (San Francisco or Kansas City),RiskIQ,"San Francisco, CA 94103 (South Of Market area)","As a data scientist at RiskIQ, you will evaluate your work by how well you enable our customers to find interesting security insights from our data...."
353,Data Scientist,DocMatter Inc.,"San Francisco, CA","PhD in Computer Science, Machine Learning, and Data mining with focus in Natural Language Processing or Computational Linguistics or related field...."
354,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
355,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
356,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
357,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
358,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
359,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
360,"Data Scientist - Machine Learning, AdTech",Uber,"San Francisco, CA 94105 (Financial District area)",We’re looking for an experienced data scientist on our Marketing Data Science team to help optimize investment decisions for Uber’s multi-million dollar...
361,Data Scientist,Invitae,"San Francisco, CA 94107 (South Of Market area)","As a Data Scientist (Experience) at Invitae, you'll turn data into insights and get a deep understanding of customers and patients to impact our strategy and..."
362,Data Scientist,Samba TV,"San Francisco, CA","Magazine as one of the fastest growing companies in the US and one of the ""most interesting ad-tech upstarts of the year"" by Business Insider, is seeking to..."
363,Data Scientist,SAP,"San Francisco, CA","We are looking for a Data Scientist. Using Tableau, SQL, and Python, you will generate reports, build Tableau dashboards, and develop machine learning (ML)..."
364,Behavioral Data Scientist,Uber,"San Francisco, CA 94105 (Financial District area)","Uber Labs data scientists form cross-functional partnerships with product, marketing, and data science teams across the business to bring insights and methods..."
365,Data Scientist,ClassDojo,"San Francisco, CA 94103 (South Of Market area)",We're looking for high-performing generalist data scientists to come work alongside us to take on some of the most interesting and impactful problems in...
366,"Data Scientist, Analytics",Calm,"San Francisco, CA","Data Scientists in the Analytics department at Calm are focused on leveraging our growing dataset to help prioritize product and content development, identify..."
367,Data Scientist,States Title,"San Francisco, CA",You've served a catch-all analytics role doing everything from data cleaning to SQL joins to building predictive models....
368,Data Scientist,Varo Money,"San Francisco, CA",Deep understanding of machine learning and statistical models. This is a tremendous opportunity to be an early member and shape the current and future data...
369,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
370,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
371,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
372,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
373,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
374,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
375,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
376,Biological Data Science Intern,Parker Institute for Cancer Immunotherapy,"San Francisco, CA 94129",The Intern in Biological Data Science will work alongside data scientists on the informatics team to make contributions to crucial ongoing projects....
377,"Data Science Manager, Product Analytics",Slack,"San Francisco, CA","As a leader on the Product Analytics team, you will deliver data and insights that drive decision-making, execution and investments for our product initiatives..."
378,Biorepository Research Data Systems Analyst,University of California San Francisco,"San Francisco, CA","The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research,..."
379,"Data Scientist, Risk",Square,"San Francisco, CA 94103 (South Of Market area)","Experience developing and deploying machine learning / deep learning solutions. As a Senior Data Scientist at Square working on Risk, you will lead projects..."
380,2019 PhD University Graduate - Data Scientist I/II - Intelligent Insights,Uber,"San Francisco, CA 94105 (Financial District area)","Proficiency in Python or R for data manipulation, analysis, and modeling. Analyze tonnes of data to quickly get insights...."
381,Machine Learning Research Engineer,Twitter,"San Francisco, CA 94103 (South Of Market area)","We are a community of Machine Learning Researchers and Engineers, working to improve Twitter through applications of ML in product areas such as recommendations..."
382,"Data Scientist, Inference",Etsy,"San Francisco, CA",Etsy is looking for a Data Scientist focusing on Causal Inference and Experimental Design to join our Data Science - Machine Learning team in San Francisco....
383,"Data Scientist, Analyst (Invest & Advice Products)",SoFi,"San Francisco, CA",Write specs and work with engineering to capture new data and transfer data into data warehouse. The Data Science team is looking to add an analyst on the...
384,Senior Data Scientist,Fitbit,"San Francisco, CA 94105 (Financial District area)","You will work with a team of data scientists and analysts to invent compelling data products in the Fitbit ecosystem of wearables, connected devices, and..."
385,Data Systems Analyst,University of California San Francisco,"San Francisco, CA","Manage discrete data projects including HIPPA compliant clinical data, flow cytometry, Cytof, immunohistochemistry, bulk and single cell RNAseq, bulk and single..."
386,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
387,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
388,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
389,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
390,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
391,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
392,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
393,Machine Learning Engineer,Twitter,"San Francisco, CA 94103 (South Of Market area)","You’re a relevance engineer, applied data scientist, or machine-learning engineer who wants to work on exciting algorithmic and deep infrastructure issues to..."
394,Data Scientist for Digital Marketing Agency,Six Spoke Media,"San Francisco, CA 94111 (Financial District area)","As a Data Scientist, you dream about data in your sleep. Today, this includes flexible hours, health, dental, and life insurance plans, 401(k) plan, gym..."
395,Data Scientist,Alt Shift USA,"San Francisco, CA",Substantial experience in creating optimization models. Support/develop models for GAP INC....
396,Research Data Analysist,The Center of Imaging of Neurodegenerative Disease...,"San Francisco, CA 94121 (Outer Richmond area)",The Research Data Analyst will join a team of scientists utilizing MRI to study aging and neurodegenerative disease at the Center of Imaging of...
397,Computer Scientist,Federal Bureau of Investigation,"San Francisco, CA",*_Must use the Mozilla Firefox web browser when applying to FBIJobs.gov job openings and Talent Networks.....
398,"Data Scientist - New Mobility Optimization (Bikes, Scooters)",Uber,"San Francisco, CA 94103 (South Of Market area)","Minimum 3 years of experience in a quantitative analysis role with Analytics, Machine Learning, Optimization...."
399,Data Scientist,Eaze,"San Francisco, CA","As a Data Scientist at Eaze, you'll report to the Director of Analytics and work on building models and helping run experiments to improve Eaze’s business and..."
400,Data Science Manager - Global Intelligence,Uber,"San Francisco, CA 94103 (South Of Market area)","Lead a team of Data Scientists to work closely with product, eng, and ops to build and lean test the key technology/product to drive Uber efficiency and..."
401,Data Scientist - Client Relationship Algorithms,Stitch Fix,"San Francisco, CA","You possess the ability to influence decisions through effective communication and data visualization. Text, image, structured data)...."
402,"Data Engineer, BI (Multiple Openings and Levels)",Rally Health,"San Francisco, CA",Develop actionable insights for population health management and positive recommendations for ways individuals can improve their health and manage their costs....
403,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
404,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
405,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
406,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
407,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
408,"Data Scientist, Recommendation and Ranking",Etsy,"San Francisco, CA",Etsy is looking for a Data Scientist focusing on Recommendation and Ranking to join our Data Science - Machine Learning team in San Francisco....
409,Data Scientist,Slync,"San Francisco, CA 94105 (Financial District area)","5+ years work experience, 2+ years of work experience applying scientific methods to solve-real-world problems...."
410,Data Scientist,DocMatter Inc.,"San Francisco, CA","PhD in Computer Science, Machine Learning, and Data mining with focus in Natural Language Processing or Computational Linguistics or related field...."
411,Data Scientist - Client Relationship Algorithms,Stitch Fix,"San Francisco, CA","You possess the ability to influence decisions through effective communication and data visualization. Text, image, structured data)...."
412,"Data Scientist, Operations",Square,"San Francisco, CA 94103 (South Of Market area)",Use your experience in analytics tools and scientific rigor to produce actionable insights. 2+ years industry experience in data science or analytics....
413,Data Scientist,Nextdoor,"San Francisco, CA","Drive self-service for our data platform by creating and documenting data structures and sets, SQL and data tools training, and dashboard development...."
414,Data Scientist,Aktana,"San Francisco, CA","Work with Data Scientists, Product Managers, Customer Success and Services teams to frame a problem, both mathematically and within the business context...."
415,Healthcare Payer Data Scientist Consultant,Accenture,"San Francisco, CA 94105 (Financial District area)","Effectively utilize statistical, data mining, machine learning, and/or deep learning techniques in delivering data science insights...."
416,Data Scientist,Scaleapi,"San Francisco, CA","Set up, maintain, and scale our data analytics infrastructure. As Scale’s first data scientist, you will lead the charge on building our analytical..."
417,Data Scientist,Tonal,"San Francisco, CA","Experience with machine learning including classification, prediction, training, and analytics techniques...."
418,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
419,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
420,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
421,"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA","Data Scientist, Product Analytics. Proven track record in solving business problems through fact based and scientific analytics...."
422,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
423,NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"San Francisco, CA",Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data. This includes using machine learning techniques and...
424,Senior Systems Engineer/Data Scientist,Cenergy International Services,"Cambridge, MA","At least 3 years of experience focused on Data Science/Data Analysis (Data Mining and Processing, Building Analytic Systems driving valuable business insights..."
425,Scientist – Biomarker Development,Novartis,"Cambridge, MA 02139 (Area IV area)","You will be developing and validating innovative biomarker solutions, implementing new methodologies, delivering high quality data and playing a pivotal role in..."
426,"Research Scientist, Drug Discovery",Bristol-Myers Squibb,"Cambridge, MA 02140 (North Cambridge area)",Ability to mentor more junior scientists and colleagues on best practices in the laboratory would be highly valued....
427,Healthcare Operations Data Scientist,Philips,"Cambridge, MA",Make a difference through innovation in advanced data analytics in the area of Clinical Informatics Solutions....
428,"Statistical Genetics, Data Scientist",Camp4 Therapeutics Corporation,"Cambridge, MA","Collaborate closely with experimental and translational scientists to ensure biological validity and clinical utility, to drive Camp4’s platform feature..."
429,"Research Scientist, Cellular Neurophysiology",Novartis,"Cambridge, MA 02139 (Area IV area)","Monitoring inventory and ordering relevant laboratory reagents and supplies, 2) manage necessary aspects of experimental resource requirements, 3) participate..."
430,Computational Chemistry – Sr. Scientist II/Sr. Scientist I,HotSpot Therapeutics,"Cambridge, MA 02139 (Area IV area)","Strong analytical and problem-solving skills and scientific creativity are essential. Accessing and manipulating sequence, crystallographic data, and homology..."
431,"Scientist, Pre-Clinical Sciences",Jounce Therapeutics,"Cambridge, MA 02138 (West Cambridge area)","The successful candidate will be an integral part of a team of scientists supporting the preclinical and clinical development of novel cancer Biologics,..."
432,Data Scientist,"Amazon.com Services, Inc.","Cambridge, MA","The Data Specialist will become an expert in dialog evaluation processes, work closely with a team of skilled analysts and Research Scientists, and be a key..."
433,Data Scientist NYC and Boston,Cohen Veterans Bioscience,"Cambridge, MA 02139 (Area IV area)",Cohen Veterans Bioscience (CVB) are seeking to hire two data scientists with a focus on the development and application of integrative systems biology and/or...
434,"Full Time opportunities for students & recent graduates: Microsoft AI Development Acceleration Program: Data Scientist, Software Engineer, Program Manager",Microsoft,"Cambridge, MA 02142 (East Cambridge area)","Experience in data analysis, data visualization, machine learning/data mining/AI a plus. Knowledge of machine learning, data visualization, and AI a plus...."
435,Data Scientist,Apple,"Cambridge, MA","We are looking for highly motivated Data Scientists with a strong background in applied statistics, Machine Learning and large scale data analysis...."
436,Data Scientist,Harvard University,"Cambridge, MA","You will use a modern data science toolkit to manage multi-terabyte databases, build data pipelines, preprocess data, evaluate machine learning models, analyze..."
437,Research Data Scientist,"Amazon.com Services, Inc.","Cambridge, MA","As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models...."
438,"Analyst, Data Science",Kintai Therapeutics,"Cambridge, MA 02139 (Area IV area)","Experience working with data analysis tools in Python or R such as Pandas, Plotly, ggPlot2, etc. Experience applying basic probability and statistical tests in..."
439,Data Scientist,Cambridge Mobile Telematics,"Cambridge, MA","Expertise machine learning, data mining, and (robust) statistics. Our team uses mobile sensing and IoT devices, machine learning, applied statistics, and..."
