ID,jobTitle,companyName,jobLocation,jobSummary
154,Data Scientist,"Amazon.com Services, Inc.","Seattle, WA","As a Data Scientist on the Strategic and Fringe Selection team, you will collaborate directly with machine learning scientists, economists and statisticians to..."
155,Data Scientist I,"Accolade, Inc.","Seattle, WA 98101 (Downtown area)","As a Data Scientist 1, you will help us build machine learning models, data pipelines, and micro-services to help our clients navigate their healthcare journey...."
156,Data Scientist,Stackline,"Seattle, WA 98101 (Downtown area)","As a Data Scientist at Stackline, you will work on a fast-paced team-focused environment developing applied machine learning solutions to provide predictive..."
157,Data Scientist- Zillow Offers,Zillow Group,"Seattle, WA 98101 (Downtown area)",You will serve as a mentor to other Data Scientists on the team and Analysts across the company by leading learning academies and serving as an available...
158,Data Scientist,Zillow Group,"Seattle, WA 98101 (Downtown area)","Dive into Zillow's internal and third party data (think Hive, Presto, SQL Server, Redshift, Python, Mode Analytics, Tableau, R) to make strategic..."
159,Senior Data Scientist,Staples,"Seattle, WA 98104 (First Hill area)","Masters with 3 years of experience or Bachelors with 5 years of experience in Computer Science, Statistics, Operations Research, Applied Mathematics, Applied..."
160,Senior Data Scientist,JAMY INTERACTIVE,"Seattle, WA",Working closely with other internal teams to integrate machine learning into existing product offerings using appropriate statistical techniques on available...
161,Data Scientist- Mortgages,Zillow Group,"Seattle, WA 98101 (Downtown area)","Dive into our internal data (think Hive, Presto, SQL Server, My SQL, Redshift, Python, Mode Analytics, Tableau, R), combining disparate sources of information..."
162,"Data Scientist, WFS","Amazon.com Services, Inc.","Seattle, WA","Previous ownership and understanding of data warehousing, data modeling, and data security. You will own the analysis across multiple data sources to build a..."
163,Data Scientist,Big Fish Games,"Seattle, WA 98104 (First Hill area)","The Data Science team is looking for a talented individual to extract insights from player data, design and analyze AB tests, and partner with the business to..."
164,Applied Research Scientist - Machine Learning,Apple,"Seattle, WA",We are looking for applied scientists with a passion for using machine learning to transform in-the-wild sensing data from the most worn wearables into...
165,Senior Data Scientist (Bellevue),zulily,"Seattle, WA 98121 (Belltown area)","Data Science / Analytics. Proven history working of data integration with SQL, as well as within a statistical programming language such as R or Python in a for..."
166,Senior Data Scientist (Bellevue),zulily,"Seattle, WA 98121 (Belltown area)",Data Science / Analytics. Conducts exploratory data analysis and prepares visualizations summarizing key features of the data....
167,Data Scientist (MS1706),"Akvelon, Inc.","Seattle, WA","Collaborate with other data scientists and stakeholders on projects. Experience building data pipelines. Experience in marketing analytics, attribution modeling..."
168,MID/SR LEVEL WETLAND SCIENTIST - BS REQUIRED,Soundview Consultants LLC,"Seattle, WA","Scientist, wetland, delineation, western Washington, assessment, consulting. Experience in accurately completing field reconnaissance and investigations..."
169,"Data Engineer, Visualization",Big Fish Games,"Seattle, WA 98104 (First Hill area)",Data modeling for data warehousing. The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the...
170,Wetland Scientist,"Parametrix, Inc.","Seattle, WA 98104 (First Hill area)","The Scientist would lead wetland delineations, wetland functional assessments, vegetation surveys, critical areas studies, impact assessments, mitigation..."
171,Data Scientist- Mortgages,Zillow Group,"Seattle, WA 98101 (Downtown area)",You have strong SQL coding and statistics skills Data Scientist. Zillow Group is currently seeking a Data Scientist to join the Zillow Group Mortgages Analytics...
172,Data Scientist,Stackline,"Seattle, WA 98101 (Downtown area)","Data science, business intelligence, data analytics, data, science, or data engineering). Partner with data engineers to architect data and modeling pipelines...."
173,Senior Data Scientist,JAMY INTERACTIVE,"Seattle, WA",Drive the collection of new data and the refinement of existing data sources. Building and architecting novel solutions that leverage unique proprietary system...
174,Sr. Data Scientist,"Amazon.com Services, Inc.","Seattle, WA","As a Data Scientist, you’ll be helping drive business across multiple geographies by data mining, testing, analyzing and transforming data into actionable..."
175,Data Engineer - AI Assistant,Facebook,"Seattle, WA 98101 (Downtown area)","Build report interfaces and data feeds. At this point, we use voice and text data to interpret the user intent however we are working towards incorporating..."
176,Machine Learning Engineers – Integrity and Anti-Abuse,Facebook,"Seattle, WA 98101 (Downtown area)","Experience performing data analysis and translating the results into business recommendations. Machine learning, anomaly detection, recommendation systems,..."
177,Senior Data Scientist - Modeling,Textio,"Seattle, WA 98104 (First Hill area)","Textio is a phenomenal place to build, learn, experiment, and deliver impact as a data scientist. You will work with a top-notch team of data scientists,..."
178,Data Engineer,Amazon Retail LLC,"Seattle, WA","Extracting and combining data from various heterogeneous data sources. Demonstrated ability in data modeling, ETL development, and data warehousing...."
179,"Data Scientist, Analytics",Facebook,"Seattle, WA 98101 (Downtown area)",We're looking for Data Scientists to work on our core and business products (ex. Experience manipulating data sets through statistical software (ex....
180,Data Engineer,Indeed,"Seattle, WA","Work closely with stakeholders on the data demand side (finance, analysts, and data scientists). Develop and maintain data dictionaries for governance of..."
181,Applied Research Scientist - Machine Learning,Apple,"Seattle, WA",Co-developing machine learning solutions with data scientists and engineers on product teams across Apple. We are looking for applied scientists with a passion...
182,Lead Data Scientist,eXcell,"Seattle, WA","Our fast-moving client company is looking for an accomplished, hands-on Data Scientist to lead the Data Science team...."
183,Applied Research Scientist - Machine Learning,Apple,"Seattle, WA",Co-developing machine learning solutions with data scientists and engineers on product teams across Apple. We are looking for applied scientists with a passion...
184,"Data Engineer, Visualization",Big Fish Games,"Seattle, WA 98104 (First Hill area)",Data modeling for data warehousing. The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the...
185,Senior Data Scientist (Bellevue),zulily,"Seattle, WA 98121 (Belltown area)",Data Science / Analytics. Conducts exploratory data analysis and prepares visualizations summarizing key features of the data....
186,Lead Data Scientist,eXcell,"Seattle, WA","Our fast-moving client company is looking for an accomplished, hands-on Data Scientist to lead the Data Science team...."
187,"Data Scientist, Machine Learning","Amazon Mechanical Turk, Inc.","Seattle, WA","Knowledge of batch and streaming data architectures. As a Data Scientist on the team, you will apply your strong background in ML, statistics and data..."
188,Data Scientist - Amazon Music NLU,"Amazon.com Services, Inc.","Seattle, WA","Previous experience in a ML or data scientist role with a large technology company. But it's still Day 1 for the voice-enabled music experiences, and we're..."
189,"Data Scientist, Analytics",Facebook,"Seattle, WA 98101 (Downtown area)",We're looking for Data Scientists to work on our core and business products (ex. Experience manipulating data sets through statistical software (ex....
190,Machine Learning Intern,Parametric,"Seattle, WA","The ability to work with large data sets. Strong knowledge of Data Science, Machine Learning, portfolio theory, investments, and finance...."
191,Data Scientist - SEA,1Strategy,"Seattle, WA","Clean large, uncleansed, unstructured data using data engineering techniques and work with customer to understand the business...."
192,Applied Research Scientist - CVML,Apple,"Seattle, WA","You will play a key role in defining, designing, implementing and evaluating CVML algorithm involving unique data and objectives...."
193,Data Scientist,Big Fish Games,"Seattle, WA 98104 (First Hill area)","The Data Science team is looking for a talented individual to extract insights from player data, design and analyze AB tests, and partner with the business to..."
194,Customer Solutions Data Scientist,Tableau,"Seattle, WA 98107 (Ballard area)","Data Rock Star. The Customer Solutions Data Scientist requires the ability to take large, disparate sets of data and transform them into an easy to understand..."
195,"Data Scientist, Analytics (Integrity)",Facebook,"Seattle, WA 98101 (Downtown area)","The Data Scientist, Analytics (Integrity) role has work across the following four areas:. Building key data sets to empower operational and exploratory analysis..."
196,Business Analyst 2 - Consumer Research and Insights,Nordstrom,"Seattle, WA","Tableau or other data visualization experience preferred. Strong quantitative skills, including comfort with large data sets and insight generation...."
